"","X5_3_3_.2","X5_3_4_.2","X5_5_3_.2","X5_5_4_.2","X5_6_2_.2","X5_6_3_.2","X5_7_1_.2","X5_7_3_.2","X5_8_1_.2","X5_8_2_.2","X5_8_3_.2","X5_3_3_2","X5_3_4_2","X5_5_3_2","X5_5_4_2","X5_6_2_2","X5_6_3_2","X5_7_1_2","X5_7_3_2","X5_8_1_2","X5_8_2_2","X5_8_3_2","X5_3_3_6","X5_3_4_6","X5_5_3_6","X5_5_4_6","X5_6_2_6","X5_6_3_6","X5_7_1_6","X5_7_3_6","X5_8_1_6","X5_8_2_6","X5_8_3_6","X5_3_3_13","X5_3_4_13","X5_5_3_13","X5_5_4_13","X5_6_2_13","X5_6_3_13","X5_7_1_13","X5_7_3_13","X5_8_1_13","X5_8_2_13","X5_8_3_13"
"6e5be229dd49e819c917d2ae8b72610b",80,18,120,0,10,0,0,68,15,33,13,0,38,30,33,35,0,0,0,9,10,0,0,0,64,24,7,0,0,0,0,41,12,0,0,25,0,23,0,0,15,0,0,17
"715a5706f5ea5356f6c4772dc98d6430",0,0,0,0,13,0,13,38,22,0,0,0,0,0,16,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0
"7799200040e84123975fe96a93db4500",27,26,0,67,39,0,0,48,0,0,7,0,19,0,0,29,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
"7b28c20e72c6c95b3e604f0849245770",183,43,66,53,173,53,410,132,500,39,105,1285,511,139,44,161,325,170,614,88,187,131,393,1467,1697,623,3453,833,2630,227,349,642,2976,0,0,287,0,201,1742,2550,1808,61,80,696
"811f358e4e89eecbd75298ffce878cba",0,0,0,0,185,26,91,0,112,124,136,39,63,125,270,655,23,211,81,76,28,70,1272,139,645,4605,2243,1479,1140,202,665,522,645,0,10,105,0,1931,86,1020,117,293,0,88
"8212472385df0dc1b6527a764d613b7d",0,0,0,0,27,23,9,50,0,0,0,0,0,13,0,20,0,0,49,15,0,0,0,0,22,29,0,151,67,0,49,0,0,0,0,0,0,0,23,0,29,0,0,0
"84977ba94188c5d008f9861e3e14d0a5",16,0,19,7,10,9,8,19,32,14,0,0,0,28,9,0,15,0,8,18,0,9,0,0,28,0,0,0,0,15,11,0,16,0,0,5,0,0,0,0,0,0,0,6
"851bd80d021dcf4e9f3f11e95310927c",30,38,13,23,12,36,12,47,26,0,22,0,25,0,0,26,33,14,38,0,0,36,0,102,24,43,0,42,16,19,14,115,34,0,0,0,0,0,40,12,0,29,0,0
"885af48524af5ccac2ffcff5abf6c1f9",0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,119,31,21,58,0,0,44,0,0,18,0,0,0,10,0,0,0,0,0,0,0,10
"8c65d91e013525d1c8606fab40e0a88b",98,158,258,211,355,0,260,202,167,1699,144,12,41,268,1570,189,0,79,0,162,299,159,0,0,815,1109,129,0,12,0,0,3,403,0,0,414,0,0,0,0,0,0,0,131
"8da18b476b64f6f053647455b6890f80",70,39,9,48,11,50,26,28,0,15,10,28,300,53,136,59,106,27,54,163,53,45,364,257,166,130,19,402,35,201,181,288,39,0,0,40,0,126,395,81,48,58,0,15
"8e6f1849d93723676dff6cb1962941a8",221,107,187,439,180,380,275,340,400,223,482,50,170,230,289,137,578,286,604,852,43,230,0,15,358,191,338,380,211,234,349,142,658,0,0,209,0,111,127,80,59,81,0,80
"8e74f6f63a5f9a304aeb8284be71fd23",17,0,0,0,0,0,0,0,0,0,0,18,14,0,0,0,0,0,0,0,0,0,9,0,15,0,0,19,0,0,0,0,36,0,0,52,0,0,21,0,0,0,0,0
"901c9973bde010c1a5c49023e63cc252",0,0,20,21,25,43,0,13,0,13,0,0,0,24,19,0,26,18,12,28,0,8,107,80,43,77,16,126,27,64,17,82,0,0,0,0,0,28,124,0,0,0,0,7
"91a093473cad95da81d9ebb47d5ef0c5",42,32,9,0,13,0,0,50,0,0,21,0,18,25,33,23,0,18,0,6,0,18,0,0,52,39,33,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,11,24
"924668f542df9de35c2226e4a6cf09bd",89,0,31,42,59,149,27,33,89,123,34,0,32,57,226,78,108,49,43,479,47,84,0,0,176,41,0,0,0,0,0,0,74,0,0,37,0,0,0,0,0,0,0,0
"958d78a02bef69a795806f97adb117ea",52,22,36,50,28,60,60,50,18,49,32,47,140,40,81,79,91,62,35,117,148,36,209,342,87,175,45,304,76,84,58,196,43,0,0,40,0,45,129,32,0,70,21,13
"97d033725a3fcb0e6b0f9554365d4e0f",5,0,0,0,0,4,0,5,0,0,0,50,7,0,3,0,7,0,16,3,0,0,0,0,32,17,15,0,8,7,205,0,28,0,0,0,0,0,0,0,0,0,0,5
"9a13cbb8e1b12468bf22d6a05aafb0c0",2975,2251,1923,2179,10,2023,1604,1879,2793,993,2969,2105,1301,1119,1008,0,2204,1952,1975,3115,989,1680,1124,355,2422,1226,261,1191,1619,822,1674,2025,3800,4984,366,1726,2611,162,2196,1864,527,1121,2711,1159
